,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
103,Arab World,ARB,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,4.46053981781006,4.42390012741089,4.56860017776489,4.72887992858887,4.84823989868164,5.03181982040405,5.26744985580444,5.475830078125,5.63821983337402,5.89585018157959,6.08058977127075,6.22857999801636,6.4006199836731,6.55453014373779,6.70750999450684,6.86256980895996,7.03786993026733,7.19875001907349,7.29824018478394,7.32307004928589,7.3969898223877,7.4903998374939,7.40277004241943,7.54330015182495,7.82342004776001,7.8344202041626,7.91235017776489,8.14249992370605,8.32419967651367,8.56599998474121,8.71613025665283,8.89735984802246,9.11091041564941,9.29899978637695,9.49571990966797,9.81719970703125,9.90429973602295,9.93735027313232,10.0887804031372,10.1607999801636,10.32979,10.44917,10.75631,10.77196,10.90879,11.12856,11.22685,11.33555,11.47323,,
104,Arab World,ARB,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,7.29881000518799,7.28082990646362,7.44780015945435,7.64668989181519,7.75410985946655,8.00014019012451,8.25341987609863,8.46422958374023,8.61450958251953,8.74143028259277,8.86497020721436,8.93093013763428,9.05296039581299,9.15944957733154,9.28300952911377,9.37874031066895,9.52227020263672,9.65161037445068,9.69472026824951,9.57789039611816,9.51731967926025,9.52147960662842,9.26543045043945,9.35964965820313,9.68552017211914,9.54881954193115,9.77910995483398,9.82619953155518,9.91256046295166,10.0659399032593,10.1178998947144,10.2009601593018,10.3080902099609,10.3815498352051,10.5669202804565,10.8151702880859,10.8267402648926,10.8835897445679,10.9231395721436,11.0108604431152,11.13724,11.25976,11.55202,11.54322,11.65248,11.79142,11.82177,11.90255,11.98208,,
673,Caribbean small states,CSS,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,11.1009998321533,10.9900197982788,11.1338796615601,10.6014003753662,10.6379804611206,11.1508197784424,11.3132696151733,11.4299898147583,11.5708904266357,11.6657600402832,11.7319402694702,11.4979600906372,11.5242700576782,11.507740020752,11.3844995498657,11.4970102310181,11.6473503112793,11.7143402099609,11.9550504684448,11.9862699508667,12.0244398117065,11.9624700546265,11.9626703262329,11.8757495880127,12.0422401428223,12.0232200622559,12.0631504058838,12.1015796661377,12.0717601776123,12.0086698532104,11.8734998703003,11.9726896286011,12.406379699707,12.4789695739746,12.7041101455688,12.9931297302246,13.1414403915405,13.3225402832031,13.7553100585938,13.5431003570557,13.52492,13.55386,13.40468,13.32647,13.20616,13.24984,13.31008,,,,
674,Caribbean small states,CSS,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,10.7211399078369,10.6314296722412,10.7652997970581,10.3559303283691,10.3924798965454,10.6322002410889,10.7219696044922,10.9747695922852,11.0674695968628,11.1682796478271,11.1373596191406,10.8638496398926,10.9964799880981,10.9929504394531,10.9082899093628,11.0060796737671,11.1073799133301,11.3267097473145,11.486180305481,11.46107006073,11.4563798904419,11.469820022583,11.5333003997803,11.4898595809937,11.5790395736694,11.5367603302002,11.5106601715088,11.5067501068115,11.4915704727173,11.432430267334,11.3054504394531,11.3597297668457,11.4750204086304,11.5745401382446,11.906379699707,11.8185701370239,11.9469604492188,12.0750799179077,12.5368099212646,12.4011602401733,12.19314,12.21079,12.18965,11.96206,11.96243,12.01034,12.17681,,,,
1243,Central Europe and the Baltics,CEB,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,11.3891096115112,11.2548398971558,11.1645202636719,11.2056198120117,11.2452402114868,11.5181102752686,11.5784997940063,11.710470199585,11.8059196472168,11.8472700119019,11.887619972229,11.9661598205566,12.0832796096802,12.0987796783447,12.1321496963501,12.1889095306396,12.239709854126,12.3376798629761,12.3561601638794,12.1129903793335,12.085000038147,11.9261302947998,11.8407697677612,12.0337800979614,12.1858596801758,12.3157501220703,12.6563701629639,12.9868202209473,13.351710319519,13.7814302444458,14.0488004684448,14.3913698196411,14.7308597564697,14.9842500686646,14.8607902526855,15.0923004150391,15.2718496322632,15.488169670105,15.7145595550537,15.8712902069092,16.03916,15.93485,15.83808,16.39839,16.27497,16.22115,16.12334,16.16823,16.17578,,
1244,Central Europe and the Baltics,CEB,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,11.4713296890259,11.3720998764038,11.3375196456909,11.3410396575928,11.3677396774292,11.5091695785522,11.5504598617554,11.6387395858765,11.7089700698853,11.7540397644043,11.7839202880859,11.8349103927612,11.9165096282959,11.9333000183105,11.9612903594971,11.9948396682739,12.0048904418945,12.0073099136353,12.0182800292969,11.9960098266602,11.9554004669189,11.7615995407104,11.5682697296143,11.8328895568848,11.8938398361206,11.9159097671509,12.191780090332,12.5345401763916,12.8369398117065,13.1731996536255,13.4299297332764,13.6888704299927,13.9898796081543,14.2306995391846,13.9954700469971,14.2019500732422,14.3230600357056,14.4799604415894,14.6179399490356,14.716739654541,14.80023,14.71905,14.67951,15.1322,15.04732,15.00957,14.9472,14.99103,14.99615,,
1813,Early-demographic dividend,EAR,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,4.87857007980347,4.88973999023438,4.99452018737793,5.14981985092163,5.21100997924805,5.35236978530884,5.47482013702393,5.5991997718811,5.63162994384766,5.76115989685059,5.89900016784668,6.09409999847412,6.24263000488281,6.4721097946167,6.59905004501343,6.71076011657715,6.84499979019165,6.88563013076782,6.99756002426147,7.10537004470825,7.14250993728638,7.30846977233887,7.42856979370117,7.58858013153076,7.73055982589722,7.77733993530273,7.896240234375,8.02614974975586,8.11625957489014,8.23917961120605,8.41306972503662,8.54061985015869,8.75401973724365,9.21487045288086,9.38436985015869,9.62016010284424,9.831130027771,10.1570701599121,10.4232501983643,10.5446901321411,10.83047,11.15375,11.48447,11.73331,11.95757,12.11348,12.43905,12.38584,12.4687,,
1814,Early-demographic dividend,EAR,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,7.38788986206055,7.3744101524353,7.48233985900879,7.6659197807312,7.73462009429932,7.82243013381958,7.90546989440918,8.03816032409668,8.04012012481689,8.12930965423584,8.28610992431641,8.44305038452148,8.61069011688232,8.80086994171143,8.98085975646973,9.0236701965332,9.09698963165283,9.08300018310547,9.1019401550293,9.19731044769287,9.15981960296631,9.21926975250244,9.27390003204346,9.34663963317871,9.41709995269775,9.42076015472412,9.51216983795166,9.52507972717285,9.51360988616943,9.51788997650146,9.65764999389648,9.7192497253418,9.83675003051758,9.97548007965088,10.1262798309326,10.2836904525757,10.4290399551392,10.7011604309082,10.8342504501343,10.8485898971558,11.10547,11.37359,11.61405,11.57772,11.7674,11.93207,12.11027,12.08973,12.15719,,
2383,East Asia & Pacific,EAS,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,7.23404979705811,7.54335021972656,7.83271980285645,7.99657011032104,7.84882020950317,7.69515991210938,7.67447996139526,7.53715991973877,7.56253004074097,7.66173982620239,7.92468976974487,8.19431972503662,8.42632007598877,8.63512992858887,8.62020015716553,8.56501007080078,8.63757038116455,8.73676013946533,8.77375030517578,8.82083988189697,9.01675033569336,9.21123027801514,9.36367988586426,9.49380970001221,9.79310989379883,10.1224403381348,10.2029399871826,10.444299697876,10.6665601730347,10.9682998657227,11.1618995666504,11.3192796707153,11.666069984436,11.8760404586792,12.1062202453613,12.3095,12.48284,12.67419,12.87371,13.08382,13.25637,13.38655,13.57052,13.71954,,
2384,East Asia & Pacific,EAS,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,8.85556983947754,8.99789047241211,9.30282020568848,9.46238994598389,9.33973026275635,9.16487979888916,9.21354007720947,9.06120014190674,9.00627994537354,9.05687046051025,9.31200981140137,9.51140022277832,9.64424991607666,9.8601598739624,9.73894023895264,9.64984035491943,9.64725017547607,9.67652988433838,9.71510028839111,9.65015983581543,9.80082035064697,9.94427967071533,10.0354900360107,10.0795402526855,10.292010307312,10.5672597885132,10.6117601394653,10.8315601348877,11.0511598587036,11.2512502670288,11.3991203308105,11.490870475769,11.7892198562622,11.9529304504395,12.1347103118896,12.34258,12.47494,12.5844,12.72666,12.83841,12.98526,13.01588,13.18152,13.31359,,
2953,East Asia & Pacific (excluding high income),EAP,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,7.08984994888306,7.40336990356445,7.69187021255493,7.84812021255493,7.66237020492554,7.46721982955933,7.41972017288208,7.25709009170532,7.27167987823486,7.36698007583618,7.64343976974487,7.925950050354,8.16623973846436,8.39500045776367,8.37547016143799,8.32789993286133,8.4099702835083,8.52287006378174,8.56879997253418,8.62259960174561,8.81663990020752,9.00232982635498,9.12868022918701,9.23478984832764,9.51961994171143,9.84358978271484,9.91567039489746,10.1630296707153,10.3965396881104,10.7162704467773,10.920880317688,11.0844202041626,11.4416103363037,11.6578502655029,11.8911304473877,12.10124,12.27714,12.47412,12.67269,12.87825,13.05971,13.19995,13.40049,13.56386,,
2954,East Asia & Pacific (excluding high income),EAP,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,8.74407958984375,8.87856006622314,9.18537044525146,9.34090995788574,9.18647956848145,8.9736795425415,9.00419044494629,8.82271957397461,8.74542045593262,8.78814029693604,9.06250953674316,9.2681999206543,9.40207004547119,9.63566017150879,9.50366020202637,9.42201042175293,9.42609977722168,9.46695041656494,9.51498031616211,9.44888973236084,9.59708976745605,9.72745990753174,9.78921031951904,9.80189037322998,9.99120998382568,10.2563104629517,10.2903995513916,10.5206899642944,10.7571401596069,10.9734697341919,11.1331901550293,11.2316102981567,11.5412702560425,11.7137899398804,11.8981103897095,12.11915,12.25442,12.36989,12.51159,12.61677,12.77267,12.81251,12.99504,13.14088,,
3523,East Asia & Pacific (IDA & IBRD),TEA,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3524,East Asia & Pacific (IDA & IBRD),TEA,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,8.70094013214111,8.83689975738525,9.14795017242432,9.30613994598389,9.15050029754639,8.935959815979,8.96770000457764,8.78549957275391,8.70940017700195,8.75481986999512,9.03367042541504,9.24172019958496,9.37627983093262,9.61100959777832,9.47601985931396,9.3924503326416,9.39700031280518,9.43939018249512,9.48948955535889,9.42422008514404,9.57474040985107,9.70596027374268,9.76725006103516,9.7782096862793,9.96751976013184,10.2341995239258,10.268159866333,10.5015296936035,10.7415599822998,10.9612503051758,11.1233797073364,11.223090171814,11.5368900299072,11.7117099761963,11.8984699249268,12.12323,12.26095,12.37868,12.52274,12.62967,12.79101,12.82541,13.00743,13.15247,,
4093,Euro area,EMU,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4094,Euro area,EMU,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,12.7410497665405,12.6349897384644,12.7736902236938,12.8605098724365,13.0712995529175,13.085000038147,13.1486101150513,13.2112102508545,13.1783103942871,13.1252698898315,13.0857496261597,12.9935598373413,13.0534601211548,13.0446500778198,13.1361398696899,13.2812995910645,13.4819297790527,13.6220903396606,13.7431497573853,13.8633003234863,13.9352502822876,14.1472101211548,14.1292600631714,14.5311603546143,15.0462198257446,15.1335697174072,15.260160446167,15.3330602645874,15.5083703994751,15.4108400344849,15.5039701461792,15.5790796279907,15.575400352478,15.6482000350952,15.6505002975464,15.8750696182251,15.9582300186157,15.9241600036621,15.9594202041626,15.9782695770264,16.10033,16.25238,16.26193,16.33468,16.35337,16.41529,16.452,16.58676,16.58247,,
4663,Europe & Central Asia,ECS,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,11.5701904296875,11.4971399307251,11.5127296447754,11.5816802978516,11.6415300369263,11.7286596298218,11.8089599609375,11.8461303710938,11.8754997253418,11.8830099105835,11.9155702590942,11.9341201782227,11.9917297363281,12.0754899978638,12.1876096725464,12.2931900024414,12.4560298919678,12.5563802719116,12.607629776001,12.5767602920532,12.5926103591919,12.6225700378418,12.5430498123169,12.6450500488281,12.7379302978516,12.8447999954224,13.0105800628662,13.1187295913696,13.3469400405884,13.5016098022461,13.6728601455688,13.9718198776245,14.1950397491455,14.3833103179932,14.3747100830078,14.5460996627808,14.6608695983887,14.7398996353149,14.8043298721313,14.8832998275757,15.13222,15.2881,15.30013,15.84552,15.88447,15.98115,16.04282,16.07031,16.0303,,
4664,Europe & Central Asia,ECS,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,12.0060501098633,11.9516801834106,11.987979888916,12.0141201019287,12.1173000335693,12.1416501998901,12.1876602172852,12.2253103256226,12.2101802825928,12.1825704574585,12.1600999832153,12.0902700424194,12.1253499984741,12.1349201202393,12.2300596237183,12.3230695724487,12.4523401260376,12.5384197235107,12.6033802032471,12.6070899963379,12.6235904693604,12.6581497192383,12.5734300613403,12.6980400085449,12.7941198348999,12.8786602020264,13.03005027771,13.1181602478027,13.3097896575928,13.4711198806763,13.6072101593018,13.8863697052002,14.0866098403931,14.2554903030396,14.1847496032715,14.306079864502,14.3788003921509,14.4223899841309,14.4443597793579,14.4895000457764,14.74978,14.90568,14.93231,15.42716,15.47479,15.58606,15.67053,15.7596,15.72865,,
5233,Europe & Central Asia (excluding high income),ECA,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.289719581604,11.1389303207397,11.1928396224976,11.3058795928955,11.2884798049927,11.3574895858765,11.4838495254517,11.5841503143311,11.9582300186157,12.3287296295166,12.5757598876953,12.5741596221924,12.7147703170776,12.9195804595947,13.1063003540039,13.1984796524048,13.3360395431519,13.69319,13.9801,14.01118,14.58373,14.70026,14.89267,14.98056,14.97327,14.92814,,
5234,Europe & Central Asia (excluding high income),ECA,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4467296600342,11.2735004425049,11.3466396331787,11.4873304367065,11.5055799484253,11.6368103027344,11.8242902755737,11.9040803909302,12.3182401657104,12.6650199890137,12.9320802688599,12.8294296264648,12.8760995864868,13.0186901092529,13.1507797241211,13.1584396362305,13.2197103500366,13.60034,13.89912,13.94884,14.51062,14.63773,14.83787,14.96854,15.04661,15.0059,,
5803,Europe & Central Asia (IDA & IBRD),TEC,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804,Europe & Central Asia (IDA & IBRD),TEC,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,11.2849502563477,11.3308200836182,11.3900003433228,11.4250001907349,11.4462604522705,11.4653997421265,11.4183797836304,11.4584999084473,11.4975204467773,11.6286001205444,11.7405195236206,11.8490104675293,11.9334697723389,11.9954204559326,11.9282903671265,11.9006795883179,11.8334398269653,11.6764898300171,11.5461502075195,11.3995599746704,11.4520502090454,11.5929098129272,11.6492395401001,11.8077402114868,12.0144500732422,12.1025800704956,12.499659538269,12.8408203125,13.0936698913574,12.936840057373,12.9941701889038,13.1268196105957,13.2460699081421,13.248140335083,13.3035097122192,13.66336,13.9336,13.98878,14.57183,14.67435,14.8593,14.98228,15.06036,15.02179,,
6373,European Union,EUU,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,11.9537296295166,11.8474998474121,11.923150062561,12.0690603256226,12.1829900741577,12.3445796966553,12.4641304016113,12.5115404129028,12.5509796142578,12.5356302261353,12.5832004547119,12.6482400894165,12.68922996521,12.7812299728394,12.8529396057129,12.9484901428223,13.1518497467041,13.2843904495239,13.3552103042603,13.3929500579834,13.4839496612549,13.6389799118042,13.6466903686523,14.1018695831299,14.4685401916504,14.6401300430298,14.8684597015381,15.070050239563,15.3759202957153,15.4951696395874,15.6554498672485,15.835729598999,15.8934497833252,16.0242404937744,16.0277194976807,16.2393894195557,16.2589092254639,16.2618007659912,16.3431797027588,16.3892402648926,16.52977,16.54664,16.5228,17.04632,17.03316,17.04282,17.07478,17.17951,17.18294,,
6374,European Union,EUU,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,12.4734697341919,12.3823099136353,12.4695796966553,12.5311498641968,12.7053098678589,12.7462997436523,12.7979297637939,12.8487701416016,12.8308200836182,12.7989902496338,12.7725896835327,12.716329574585,12.7673397064209,12.7592802047729,12.8225898742676,12.903169631958,13.0611295700073,13.1580696105957,13.2411203384399,13.3209495544434,13.3890600204468,13.5085802078247,13.5041103363037,13.9919700622559,14.3793296813965,14.4767198562622,14.6414604187012,14.778790473938,14.9547300338745,15.0346298217773,15.1711597442627,15.2801704406738,15.3301296234131,15.4062004089355,15.386079788208,15.5893201828003,15.5902700424194,15.5774698257446,15.6469697952271,15.6997098922729,15.84004,15.84894,15.84152,16.27072,16.25239,16.27648,16.30636,16.4307,16.43505,,
6943,Fragile and conflict affected situations,FCS,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,3.94620990753174,3.92317008972168,3.98108005523682,4.0883002281189,4.18767023086548,4.30032014846802,4.42365980148315,4.56073999404907,4.66345977783203,4.87986993789673,5.05815982818604,5.25845003128052,5.32546997070313,5.38989019393921,5.44726991653442,5.38496017456055,5.45544004440308,5.48569011688232,5.50054979324341,5.42406988143921,5.23184013366699,5.49463987350464,5.44240999221802,5.48352003097534,5.50530004501343,5.55403995513916,5.53257989883423,5.54169988632202,5.53565979003906,5.56120014190674,5.73943996429443,5.89851999282837,6.18866014480591,6.47556018829346,6.66447019577026,6.91907978057861,7.16163015365601,7.30239009857178,7.62658023834229,7.77697992324829,7.96441,8.19138,8.3355,8.38908,8.44447,8.55559,8.63504,,,,
6944,Fragile and conflict affected situations,FCS,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,6.41430997848511,6.41821002960205,6.44700002670288,6.55069017410278,6.62264013290405,6.7650899887085,6.89335012435913,7.0308198928833,7.13289022445679,7.33843994140625,7.44899988174438,7.59347009658813,7.38561010360718,7.42011022567749,7.46537017822266,7.48939990997314,7.51176023483276,7.36950016021729,7.41916990280151,7.30786991119385,7.03647994995117,7.34967994689941,7.26289987564087,7.33964014053345,7.45414018630981,7.49658012390137,7.46621990203857,7.49811983108521,7.49387979507446,7.42181015014648,7.5403299331665,7.70784997940063,8.14062976837158,8.39993000030518,8.80315017700195,8.84751987457275,9.08757972717285,9.2249002456665,9.54143047332764,9.67994022369385,9.79849,9.98985,10.08895,10.10506,10.16288,10.09301,10.11521,,,,
7513,Heavily indebted poor countries (HIPC),HPC,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,2.97201991081238,2.98731994628906,3.04923009872437,3.09787011146545,3.18969988822937,3.31850004196167,3.49634003639221,3.66230988502502,3.85632991790771,4.02597999572754,4.21146011352539,4.39266014099121,4.43726015090942,4.49312019348145,4.48097991943359,4.41501998901367,4.4450101852417,4.45206022262573,4.4930100440979,4.41431999206543,4.32558012008667,4.4601001739502,4.3738899230957,4.39358997344971,4.46078014373779,4.61054992675781,4.63143014907837,4.88163995742798,5.02074003219604,5.13573980331421,5.36217021942139,5.64631986618042,5.99156999588013,6.28362989425659,6.52325010299683,6.87553977966309,7.19619989395142,7.46990013122559,7.85096979141235,8.00990962982178,8.16902,8.32451,8.47043,8.61897,8.67465,8.73384,8.72689,8.77049,,,
7514,Heavily indebted poor countries (HIPC),HPC,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,4.65785980224609,4.68158006668091,4.73191022872925,4.76155996322632,4.84050989151001,5.04649019241333,5.27380990982056,5.46935987472534,5.66040992736816,5.88940000534058,6.05759000778198,6.25141000747681,6.11104011535645,6.14972019195557,6.08473014831543,6.02618980407715,6.01629018783569,5.92472982406616,6.0272798538208,5.87328004837036,5.71498012542725,5.84909009933472,5.71000003814697,5.73410987854004,5.85835981369019,6.06852006912231,6.12602996826172,6.42086982727051,6.59784984588623,6.61546993255615,6.79428005218506,7.09125995635986,7.57963991165161,7.867919921875,8.22084045410156,8.45256042480469,8.73847961425781,9.01457977294922,9.37296009063721,9.45755004882813,9.55439,9.6395,9.71694,9.8196,9.85917,9.81347,9.73881,9.75255,,,
8083,High income,HIC,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,11.0215902328491,10.9867696762085,11.0794401168823,11.2899103164673,11.4115295410156,11.5751304626465,11.7723798751831,11.9135503768921,12.0329103469849,11.9692401885986,12.3586196899414,12.4137096405029,12.5679798126221,12.6465902328491,12.7774600982666,12.8728399276733,13.0727396011353,13.2257499694824,13.3976001739502,13.4917097091675,13.5727100372314,13.7583799362183,13.9940204620361,14.2168798446655,14.4650096893311,14.6506299972534,14.7861099243164,15.0080900192261,15.2052698135376,15.179479598999,15.0548496246338,15.2367401123047,15.3351402282715,15.5011501312256,15.6011600494385,15.7685298919678,15.8047103881836,15.8648595809937,15.9558801651001,16.0771007537842,16.18092,16.27342,16.31909,16.6203,16.68127,16.74727,16.76812,16.78685,16.79725,,
8084,High income,HIC,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,12.4784698486328,12.4424495697021,12.5108499526978,12.4975595474243,12.5017404556274,12.4601001739502,12.5036096572876,12.4885702133179,12.4336099624634,12.3189697265625,12.6163396835327,12.6024904251099,12.7731199264526,12.8424997329712,12.9392595291138,12.9942903518677,13.1454000473022,13.282190322876,13.4189500808716,13.5004901885986,13.5392198562622,13.6800603866577,13.8569803237915,14.1221799850464,14.370530128479,14.4624900817871,14.5896396636963,14.6821603775024,14.7397298812866,14.7247800827026,14.7276096343994,14.8482704162598,14.9037103652954,14.9985198974609,15.0049896240234,15.155650138855,15.1596899032593,15.2149200439453,15.2859897613525,15.3603496551514,15.47423,15.55894,15.62145,15.877,15.943,16.00655,16.05694,16.07871,16.08363,,
8653,IBRD only,IBD,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,6.4694299697876,6.56354999542236,6.68508005142212,6.91568994522095,6.95057010650635,7.21090984344482,7.41330003738403,7.62798976898193,7.69771003723145,7.66727018356323,7.63416004180908,7.69429016113281,7.67258977890015,7.79804992675781,7.90657997131348,8.09875011444092,8.32133007049561,8.42101955413818,8.54942989349365,8.58006954193115,8.61017990112305,8.706130027771,8.78882026672363,8.88617992401123,8.95497035980225,9.05152034759521,9.17325019836426,9.28551006317139,9.35725975036621,9.51167964935303,9.75152015686035,9.83971977233887,10.0724096298218,10.4886903762817,10.6848497390747,10.9143199920654,11.0814399719238,11.3812398910522,11.6790704727173,11.7991399765015,12.04269,12.30626,12.59049,12.942,13.17274,13.30138,13.5752,13.58573,13.69728,,
8654,IBRD only,IBD,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,8.31900024414063,8.46049022674561,8.65672969818115,8.98721981048584,9.03581047058105,9.02303028106689,9.12650966644287,9.36380958557129,9.43665981292725,9.3953104019165,9.36464977264404,9.44684028625488,9.43575954437256,9.48542976379395,9.63776016235352,9.79181003570557,9.94981956481934,9.96037006378174,10.0518999099731,10.0485801696777,10.0201797485352,10.0352602005005,10.0551900863647,10.1011199951172,10.0788898468018,10.1244802474976,10.2114896774292,10.2469100952148,10.2361402511597,10.3175296783447,10.5478000640869,10.5890302658081,10.7611103057861,10.9183797836304,11.0787696838379,11.2513999938965,11.3644504547119,11.6192998886108,11.8094997406006,11.8293199539185,12.08937,12.33309,12.51037,12.5716,12.74352,12.87312,13.0023,13.05318,13.1457,,
9223,IDA & IBRD total,IBT,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,5.83891010284424,5.91490983963013,6.04090976715088,6.25065994262695,6.29645013809204,6.52371978759766,6.69771003723145,6.8886399269104,6.97081995010376,6.97559976577759,6.9766697883606,7.0546498298645,7.06377983093262,7.15316009521484,7.23001003265381,7.36325979232788,7.51393985748291,7.58270978927612,7.69009017944336,7.71087980270386,7.72211980819702,7.8285698890686,7.9038200378418,7.99265003204346,8.06004047393799,8.14700984954834,8.22920036315918,8.33462047576904,8.38965034484863,8.4935302734375,8.68859958648682,8.77095985412598,8.97898960113525,9.33146953582764,9.52180004119873,9.75597953796387,9.92325019836426,10.1488199234009,10.3931398391724,10.5265798568726,10.7463,10.96957,11.20579,11.47585,11.6088,11.70268,11.87114,11.87447,11.95424,,
9224,IDA & IBRD total,IBT,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,7.76163005828857,7.8739800453186,8.0587797164917,8.35404014587402,8.4163703918457,8.42617034912109,8.52184963226318,8.72708034515381,8.7991304397583,8.80737972259521,8.81052017211914,8.90058040618896,8.90835952758789,8.98235034942627,9.08662986755371,9.17047023773193,9.23293972015381,9.22247982025146,9.30508041381836,9.27534961700439,9.24077987670898,9.27849960327148,9.29644966125488,9.34169006347656,9.3344202041626,9.37726020812988,9.4237003326416,9.47393989562988,9.47457027435303,9.51797962188721,9.70355987548828,9.74221038818359,9.93599987030029,10.0952301025391,10.2936000823975,10.4474802017212,10.5659303665161,10.7488098144531,10.9028196334839,10.9612798690796,11.17668,11.38216,11.52306,11.60968,11.69594,11.7759,11.85741,11.87393,11.94816,,
9793,IDA blend,IDB,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,3.48360991477966,3.55970001220703,3.68891000747681,3.8209400177002,4.03404998779297,4.08491992950439,4.12206983566284,4.38190984725952,4.71295022964478,5.10378980636597,5.35937976837158,5.6991400718689,6.0240797996521,6.06058979034424,6.06416988372803,6.1906099319458,6.00114011764526,5.97313022613525,5.8033299446106,5.80426979064941,5.7918701171875,5.88956022262573,6.0008602142334,6.06126022338867,6.05922985076904,5.99861001968384,5.88715982437134,6.02581977844238,6.13295984268188,6.24507999420166,6.41980981826782,6.44993019104004,6.47365999221802,6.77121019363403,7.1223201751709,7.35565996170044,7.47475004196167,7.45585012435913,7.44717979431152,7.70397996902466,7.91572,8.03836,8.31448,8.6331,8.45104,8.45368,8.43838,8.41562,8.4867,,
9794,IDA blend,IDB,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,5.65413999557495,5.71082019805908,5.81730985641479,5.89729022979736,6.16662979125977,6.19731998443604,6.21236991882324,6.46047019958496,6.59860992431641,7.02962017059326,7.34133005142212,7.72005987167358,8.1537504196167,8.53005027770996,8.70750045776367,8.53374004364014,7.95292997360229,7.87773990631104,7.80864000320435,7.62696981430054,7.74779987335205,7.78642988204956,7.8617000579834,7.90693998336792,7.82308006286621,7.66590023040771,7.40772008895874,7.53189992904663,7.66450023651123,7.77973985671997,7.96923017501831,7.91675996780396,8.02869033813477,8.18225002288818,8.60830020904541,8.73149013519287,8.77315998077393,8.61546039581299,8.50737953186035,8.67383003234863,8.89122,9.04996,9.15746,9.51278,9.27372,9.32466,9.38554,9.34047,9.41971,,
10363,IDA only,IDX,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
